"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "XML", "CSS", "JavaScript", "JSON with Comments", "Properties", "Markdown", "HTML", "YAML", "SQL", "comment", "blank", "total"
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/services/authService.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/services/categoryService.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/services/productService.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/services/tagService.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 2, 77
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/tsconfig.app.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/tsconfig.node.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"/Users/tudorneagu/Documents/oclock/challenges/S16 - Amazon/front/vite.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"Total", "-", 112, 1405, 714, 60, 83, 220, 7, 1, 67, 13, 3114, 106, 11, 1319, 7232
